
Courtois;Thibaut;31;1992-05-11;Gardien;75000000;1
Carvajal;Dani;32;1992-01-11;Defenseur;25000000;1
Militao;Eder;26;1997-01-18;Defenseur;55000000;1
Alaba;David;31;1992-06-24;Defenseur;55000000;1
Mendy;Ferland;28;1995-06-08;Defenseur;30000000;1
Kroos;Toni;34;1990-01-04;Milieu;30000000;1
Modric;Luka;38;1985-09-09;Milieu;10000000;1
Valverde;Federico;25;1998-07-22;Milieu;70000000;1
Camavinga;Eduardo;21;2002-11-10;Milieu;65000000;1
Vinicius;Junior;23;2000-07-12;Attaquant;85000000;1
Rodrygo;Goes;23;2001-01-09;Attaquant;60000000;1
Real Madrid CF;santiago bernabeu;Carlo Ancelotti


Ederson;Moraes;31;1993-08-17;Gardien;50000000;2
Walker;Kyle;34;1990-05-28;Defenseur;20000000;2
Dias;Ruben;27;1997-05-14;Defenseur;75000000;2
Stones;John;30;1994-05-28;Defenseur;60000000;2
Cancelo;Joao;30;1994-05-27;Defenseur;70000000;2
De Bruyne;Kevin;33;1991-06-28;Milieu;80000000;2
Gundogan;Ilkay;33;1990-10-24;Milieu;40000000;2
Rodri;Hernandez;27;1996-06-22;Milieu;75000000;2
Foden;Phil;24;2000-05-28;Milieu;90000000;2
Haaland;Erling;24;2000-07-21;Attaquant;150000000;2
Grealish;Jack;28;1995-09-10;Attaquant;80000000;2

Manchester City FC;Etihad Stadium;Pep Guardiola


2024-04-15;2;1;0-1
2024-05-05;1;2;?
2024-06-20;1;2;?


7;1;0;1
10;1;1;0

Ilyesse;Kebaili

1;1;20.00;1-3

